Year,america,usa,washington,new york
2010,"['korea', 'africa', 'india', 'korean', 'china', 'us', 'south', 'country', 'hemisphere', 'europe']","['opening', 'tiebreaker', 'opener', 'montreal', 'diamondbacks', 'closings', 'espn', 'finals', 'deadline', 'division']","['huffington', 'denver', 'kabul', 'baltimore', 'jerusalem', 'atlanta', 'moscow', 'geneva', 'seattle', 'boston']",[]
2011,"['korea', 'american', 'china', 'nation', 'europe', 'syria', 'poland', 'caucasus', 'africa', 'libya']","['gallup', 'survey', 'poll', 'compiled', 'journal', 'nielsen', 'yahoo', 'email', 'chronicle', 'standings']","['denver', 'beijing', 'huffington', 'moscow', 'massachusetts', 'york', 'chicago', 'delegation', 'london', 'impressionist']",[]
2012,"['american', 'korea', 'africa', 'britain', 'argentina', 'europe', 'independence', 'china', 'nation', 'sweden']","['espn', 'nbc', 'sports', 'ajc', 'reuters', 'americas', 'honors', 'gazette', 'tnt', 'illustrated']","['baltimore', 'detroit', 'dispatch', 'chicago', 'boston', 'gazette', 'denver', 'legion', 'regionals', 'cleveland']",[]
2013,"['germany', 'spain', 'asia', 'world', 'american', 'province', 'argentina', 'italy', 'nation', 'africa']","['ap', 'sports', 'gallup', 'illustrated', 'betting', 'espn', 'newspaper', 'reuters', 'tomorrow', 'poll']","['moscow', 'denver', 'chicago', 'dispatch', 'greene', 'security', 'seattle', 'richmond', 'chapman', 'smithsonian']",[]
2014,"['africa', 'american', 'europe', 'nation', 'korea', 'germany', 'japan', 'region', 'china', 'hungary']","['espn', 'cbs', 'nbc', 'reporters', 'ea', 'today', 'airing', 'sports', 'skiing', 'fox']","['dispatch', 'york', 'london', 'chicago', 'massachusetts', 'minnesota', 'pennsylvania', 'illinois', 'cambridge', 'connecticut']",[]
2015,"['africa', 'korea', 'india', 'china', 'japan', 'europe', 'american', 'asia', 'kenya', 'country']","['sports', 'espn', 'mls', 'ncaa', 'conference', 'softball', 'journalism', 'nbc', 'columnist', 'baseball']","['crescent', 'dispatch', 'gazette', 'chesterfield', 'katrina', 'massachusetts', 'legion', 'indiana', 'guerrero', 'alberta']",[]
2016,"['china', 'europe', 'africa', 'korea', 'britain', 'countries', 'germany', 'nation', 'japan', 'koreans']","['deutsch', 'atlanta', 'sports', 'cromie', 'dfp', 'froelich', 'juarez', 'pa', 'dorsett', 'pelicans']","['denver', 'atkins', 'iowa', 'missouri', 'mississippi', 'massachusetts', 'newer', 'connecticut', 'auburn', 'wisconsin']",[]
2017,"['american', 'nation', 'country', 'ireland', 'africa', 'europe', 'atlantic', 'culture', 'peru', 'korea']","['denemark', 'illustrated', 'mehta', 'raj', 'gymnastics', 'enquirer', 'townson', 'sports', 'cbs', 'nbc']","['huffington', 'schultz', 'mcclain', 'pennsylvania', 'capitol', 'rochester', 'salem', 'cal', 'berkeley', 'albany']",[]
2018,"['american', 'korean', 'europe', 'africa', 'nation', 'countries', 'korea', 'asia', 'country', 'cascades']","['reprints', 'lindgren', 'deutsch', 'dwyer', 'subscribing', 'osentoski', 'bluejays', 'nyse', 'subscribe', 'yahoo']","['lansing', 'pensacola', 'moscow', 'kenya', 'switzerland', 'arlington', 'florida', 'dispatch', 'duluth', 'minnesota']",[]
2019,"['africa', 'american', 'captivity', 'korea', 'korean', 'europe', 'france', 'country', 'chinese', 'christianity']","['reprints', 'sports', 'yahoo', 'colt', 'betting', 'gymnastics', 'raj', 'illustrated', 'gruber', 'columnist']","['vu', 'cyril', 'agence', 'newer', 'syracuse', 'md', 'correspondent', 'denver', 'seoul', 'mich']",[]
